-0.175734,0.376238,0.34393,-0.633,-1.414,-2.144
-0.110137,0.323174,0.484332,-1.921,-0.734,-0.722
-0.17429,0.377955,0.207696,0.205,-1.098,-2.947
-0.253122,0.29162,0.331034,-0.956,-1.249,-1.674
-0.204858,0.35127,0.298978,0.521,-1.193,2.978
-0.158767,0.372064,0.373882,-1.604,-0.638,-1.105
-0.223152,0.350742,0.329759,-1.275,-1.312,-1.281
-0.158909,0.395432,0.24951,0.888,-0.751,2.56
-0.157562,0.38,0.260777,0.227,-1.132,-3.009
-0.171666,0.317601,0.348197,-0.885,-1.274,-1.823
-0.146189,0.305603,0.407135,-1.609,-0.559,-1.08
-0.191587,0.320535,0.273375,-0.291,-1.21,-2.446
-0.255225,0.224412,0.345478,-1.379,-1.214,-1.177
-0.208598,0.204172,0.435958,-1.675,-0.232,-1.009
-0.261023,0.266102,0.260744,1.025,-0.877,2.602
-0.250972,0.186367,0.352789,-1.806,-1.477,-0.648
-0.166675,0.299664,0.362091,-1.349,-1.405,-1.323
